sol,Gamma,DeltaP,Gamma_unc,DeltaP_unc
66,12.09019981182109,4.036998328484908,1.7418942696423256,0.22138783901452858
66,83.61063800435926,0.6155585742146054,5.288123561758495,0.05754335395397819
67,74.05574997842498,1.6217688224691151,3.9094620308724592,0.08205288318258776
67,268.37655984504653,2.2994809741826425,8.6781592389316,0.060553617435747956
67,3.2178840938628173,26.78724816945147,inf,inf
67,7.5896936640277515,3.50732044413841,0.37632525665345584,0.23300159964596517
67,79.67038027107256,0.9655201150052483,8.65275820716817,0.15749984527849728
67,47.611886251068434,1.5611915745890474,7.254537867952038,0.16614462537870867
67,145.5893216152298,1.3593816692014742,9.396162758243783,0.051814659090648175
68,7.837135054649947,3.528134576091063,0.2589966923994705,0.608728180660507
68,23.655545263073105,1.2904610610631555,0.545214759114921,0.16918123459877366
68,17.515675872636848,0.8214515027186475,0.6338787842501817,0.17899599428419233
68,43.1188487354703,3.9811014549466126,2.650819104845994,0.06490779686042514
68,5.118947059935063,3.497015674495073,0.9651790990600979,0.7619655623276275
68,186.89964531077223,1.0055805258896202,16.130680620725787,0.02408506782149398
68,6.768097978335227,7.543850395332256,0.8385529782493014,0.005338745861756167
69,14.310674944956538,3.815357566571004,0.4687453694346181,0.511633008092991
69,7.484129665764291,9.428338267605671,0.557180274603184,1.0490788693425839
69,78.2556214824816,0.18390275270736284,5.465155791872776,0.02089079413888599
69,46.274522532849474,3.6376448325382382,3.040863820983264,0.1318700849222759
69,26.39596195581906,2.2411749883860255,1.7295382591823707,0.1657361223951453
70,5.376760654117192,1.5310238358496675,0.2457203611697488,1.3628339753064638
70,57.33110660327332,5.636641472613447,7.000426860105517,0.8113106428285635
71,52.2333562966274,2.644054649728373,2.455073751786687,0.12091449876699302
71,4.836212228101166,3.3015986526342247,0.27110200272351903,1.1970499329691364
71,9.775090800132064,16.217906461152324,0.6123483752278647,0.7752535274036909
71,22.33139000603635,2.637418033595887,1.2064157070715582,0.23352421899004483
71,2.000000000006708,8.78099709107733,inf,inf
71,92.45265473231453,2.0567078137693113,4.257956498498987,0.03749245890142858
71,138.6557250008545,0.5418619856939806,6.328549492379657,0.04097797592626036
73,6.318006274135422,13.25878497769805,0.2598356630961943,0.7154775806166881
73,135.78562345857853,1.242903335113513,6.240179653898077,0.06892125837248064
75,13.882593359600412,0.6705519603096348,0.8941977088744257,0.2267166135253152
75,112.30240792180972,0.5742068519435557,4.169990523061916,0.03213671445616125
75,55.47798162416099,1.1443981501017653,4.634034638325102,0.09301301403981713
75,122.79140492708683,1.2394132122814274,9.935066213128193,0.07592943723366356
75,12.215426434813962,0.9583092558861024,0.536899870390208,0.15938365067988924
75,7.497705702290074,14.294606692000288,2.889897334222478,0.7255885305503216
76,8.151159997169565,5.768381223683731,0.17272390271141072,0.39308160430179817
76,42.23289441758621,2.6146442237020375,2.1391678774210607,0.1464527603667808
76,29.643208042700913,2.1220409841620334,3.1430496636210075,0.2391826106167536
76,39.28826336279386,0.022358618452154536,3.6403704448261056,0.0866046582002003
76,2.000000000006708,5.083347161552972,0.16635256116132413,3.7163365675802016
77,46.19490240108405,3.5490960362456523,1.6906145031147624,0.0964907483009154
77,2.000000000013392,5.678036613973987,1.1043642480168057,0.6474993054287757
77,36.44800050065482,2.4408389795243632,3.363517672780734,0.14929244008546916
77,32.478950341790714,2.855149160136643,2.8121350391544913,0.35205933829499286
78,13.974879301598953,0.5057803351663834,0.8015034557678539,1.982646979661889
78,17.504130238077405,2.653781921891025,1.5940075276943533,0.6102094061307045
78,110.87110939526572,0.37691364563462915,6.174653380617365,0.007377788358810386
78,10.31269867424014,1.5999837626085875,1.922606726182192,0.6489066174092516
80,4.896430067091255,5.858849225146254,0.3408460289642295,4.390318868000063
80,11.528887480310349,0.9185855308496264,0.49352988943067655,0.43261615318712754
80,46.28872818806915,3.2032441359752144,4.722833061164929,0.12030437650407201
80,15.63447470444243,0.10475822430529742,1.15464477519199,0.19955279928077357
80,122.02832424663129,1.8921471354630337,5.05823527245295,0.0132135398814516
82,7.82482783652475,1.2832245647854588,0.9410233065654369,19.602296816162543
82,3.013176675472659,0.06955153828583276,0.26291446438731053,1.3839053652135103
82,13.21354284804474,8.397841477560869,0.9510622321946415,0.4162236584101581
83,6.398730004899959,2.396440164552047,0.36455501352929515,1.612711951064203
83,5.894469727097589,4.387326704040713,0.1596976075150287,0.7050654730669583
83,11.043373507692014,1.3607225802426375,0.4212650008950079,0.41048329491735885
83,194.920355368563,0.677029109672352,10.425622243923208,0.050683656038561224
84,3.0464153288082017,5.002303744773387,0.8249745677604582,42.912457100107254
84,5.574755433496707,0.09220065571680548,0.2386310772632754,0.013273561723417386
84,29.298871659014203,1.341996203783319,1.967678570165605,0.23757650491392868
84,28.41238270605145,0.07581745891774315,2.016560282808001,0.11720730277080135
85,3.678902398881529,10.588235294083749,0.3202707816023651,8.682773937350087
85,30.549828657880177,1.5850592905516994,0.7670444140111286,0.38289721612262767
85,10.580165409202255,4.571538469939587,0.5936206748905849,0.5931165669044678
85,19.438635945873468,4.529615848784072,1.235892506286444,0.321234093222936
85,25.27317605273848,3.557556799109295,2.8016600808752545,0.2399715438390903
85,61.01339938871999,2.060913488237173,8.495093671219934,0.10971970150007307
85,4.853942642090257,0.20002612515574278,1.9861626396131977,0.17703020749763393
86,56.42568051145274,4.460854497732068,1.294629636326147,0.08166375629302297
86,4.287909136780644,0.11509305186155383,0.16010332359147622,0.727090506498106
86,11.997651844999346,3.546738151131786,0.6199068107477753,0.18370273943813606
86,386.33618901341833,0.15510990774408748,6.309036523952585,0.023042772301378897
86,3.682623331049528,3.805001459692919,1.6434744392228178,0.06511251950214908
86,5.401953569656035,10.784641923271051,0.18019348838027996,0.8941538852814385
87,31.384009391093507,0.9199620113126169,1.1884493314116744,0.16782836905638213
87,65.45757277629868,2.01339594887211,7.761885992035385,0.043686858328882285
87,177.79085656098215,2.7967395612455914,14.78438534159363,0.07114111242483041
