# sol, vortex, baseline, baseline_unc, slope, slope_unc, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, conv
44, 4, 741.413, 0.00445198, 0.49631, 0.381012, 10.8727, 7.58629e-05, 0.298743, 0.013227, 12.2683, 0.943523, 7.74356
44, 5, 737.403, 0.00863381, 4.76657, 0.0621164, 18.5894, 0.000299615, 0.610232, 0.00833457, 231.18, 5.84273, 7.40076
44, 6, 741.286, 0.0129501, -4.48631, 0.129834, 14.8022, 0.000546955, 0.540418, 0.0151625, 148.02, 8.99488, 7.38779
86, 0, 751.238, 0.0111627, -5.26544, 0.293203, 12.0357, 0.000121124, 0.696343, 0.0117654, 57.924, 2.09552, 15.969
86, 1, 750.878, 0.00472276, -2.40569, 1.40985, 12.5671, 9.87177e-06, 0.605617, 0.0103134, 4.13718, 0.133809, 10.3187
86, 2, 754.339, 0.00593579, 2.06473, 0.537321, 14.3959, 5.77717e-05, 0.429443, 0.012952, 13.6775, 0.774281, 8.79677
86, 3, 757.26, 0.0089481, -0.790083, 0.05366, 22.519, 0.000297199, 0.524004, 0.0080457, 250.005, 6.4487, 7.58057
86, 4, 753.171, 0.0154155, -4.1614, 0.245477, 10.6706, 0.000205941, 0.486223, 0.245604, 2.71609, 1.94262, 7.14356
86, 5, 753.27, 0.00945527, 5.03921, 2.86099, 10.6706, 1.58305e-05, 0.53129, 0.0128501, 4.77083, 0.245408, 7.02341
72, 0, 748.85, 0.0516831, 3.1073, 2.03622, 14.545, 0.000263814, 1.08941, 0.0586673, 37.9096, 4.44796, 32.7485
72, 1, 748.753, 0.004471, -1.96426, 0.307398, 15.5576, 6.83185e-05, 0.408489, 0.0116257, 16.0148, 0.839815, 12.4617
72, 2, 746.684, 0.0183557, 5.88296, 0.221168, 12.4776, 0.000321488, 0.637639, 0.0164719, 126.675, 6.1926, 10.6314
72, 3, 746.946, 0.00505039, 5.14383, 0.127832, 12.8114, 0.00021417, 0.325829, 0.0101702, 48.9339, 2.94216, 10.226
72, 4, 746.409, 0.022274, 23.2396, 0.7879, 12.4849, 0.000161326, 0.333254, 0.0196573, 40.7476, 3.74164, 9.72796
72, 5, 748.844, 0.00628031, 1.18575, 0.118866, 14.0871, 0.000257376, 0.290718, 0.00732599, 77.6242, 4.20319, 9.36886
72, 6, 747.097, 0.00813497, 1.06044, 0.0871697, 11.4412, 0.000363323, 0.42745, 0.00874305, 140.9, 6.23895, 8.63969
72, 7, 747.353, 0.00345732, 1.18704, 0.064008, 12.9839, 0.000202051, 0.30551, 0.00611294, 72.2155, 2.89875, 8.16561
72, 8, 747.025, 0.00617511, -1.66406, 0.171853, 11.3478, 0.000224792, 0.262278, 0.00860371, 49.9513, 3.45655, 7.60045
75, 0, 744.647, 0.0104407, -1.15847, 0.909854, 12.3853, 0.000108569, 0.409135, 0.0216652, 14.0935, 1.4626, 9.51015
75, 1, 748.217, 0.00776951, 0.681907, 0.0814704, 14.5981, 0.000307862, 0.573988, 0.00942065, 140.486, 4.98371, 9.39699
75, 2, 744.3, 0.0399497, 0.688033, 0.32148, 12.0015, 0.000875798, 0.490484, 0.0376249, 217.482, 19.913, 8.49467
75, 3, 744.81, 0.00457988, -3.45796, 0.451014, 11.1481, 4.62516e-05, 0.367135, 0.00938681, 12.849, 0.632827, 8.3852
75, 4, 747.766, 0.0298494, 12.7737, 4.83576, 14.6054, 0.000376774, 0.0539637, 0.0251841, 9.15672, 7.32043, 8.03353
81, 0, 749.49, 0.0148394, 3.73306, 3.30459, 12.9375, 1.48947e-05, 1.38056, 0.0236286, 6.23106, 0.219409, 26.9783
81, 1, 749.363, 0.0184574, -2.43094, 2.05928, 11.7642, 7.44653e-05, 0.563391, 0.0237779, 12.9626, 1.17667, 13.722
81, 2, 749.8, 0.00734602, -9.39761, 0.92635, 11.5329, 3.77659e-05, 0.53946, 0.0140316, 10.3113, 0.527211, 11.3099
81, 3, 753.624, 0.0104922, -4.34231, 3.77506, 14.8984, 2.15248e-05, 0.551505, 0.0569159, 2.00083, 0.340868, 9.18815
81, 4, 757.317, 0.00681786, -6.87971, 1.23965, 9.89857, 3.45264e-05, 0.401879, 0.014123, 6.97557, 0.472609, 7.92114
31, 0, 734.775, 0.0102419, -2.75872, 0.274929, 11.0237, 0.000175683, 0.542184, 0.0127683, 54.8825, 2.78055, 10.9194
31, 1, 734.389, 0.0117557, 8.08446, 1.82626, 11.5649, 5.37375e-05, 0.442776, 0.0201346, 8.6582, 0.811954, 7.91855
31, 2, 728.471, 0.0108251, -3.06783, 0.134825, 15.2366, 0.000598072, 0.241091, 0.0106638, 133.082, 11.3156, 7.03578
31, 3, 734.129, 0.00547791, -2.68875, 0.286771, 11.4021, 0.00019795, 0.233, 0.0161979, 19.4375, 2.41031, 7.00451
36, 0, 739.55, 0.0332241, 14.8129, 6.7875, 12.7318, 3.78768e-05, 1.48715, 0.0618338, 6.46199, 0.534053, 31.249
36, 1, 740.89, 0.0709495, -5.39819, 11.8687, 10.2866, 9.22574e-05, 1.20157, 0.0941706, 8.82076, 1.43767, 23.6202
